number,Book Title,Author,Grade,School,,,,
243,효자 임금 정조의 화성행차,햇살과나무꾼,5학년,초등학교,,,,
244,휴가 온 외계인,클리트 배럿 스미스,5학년,초등학교,,,,
245,흥청망청과 땡전이 웬 말?,이경순,5학년,초등학교,,,,
246,10대를 위한 경제학 수첩,김완배,6학년,초등학교,,,,
247,가장 완전하게 다시 만든 앨리스,루이스 캐럴,6학년,초등학교,,,,
248,그래도,권타오,6학년,초등학교,,,,
249,꼬마 손자병법,문경민,6학년,초등학교,,,,
250,"나몰라 아저씨, 여기서 이러시면 안 돼요!",게라르도 콜롬보,6학년,초등학교,,,,
,,마리나 모르푸르고,,초등학교,,,,
251,나무에서 떨어진 뜻밖의 선물,샤론 크리치,6학년,초등학교,,,,
252,내 이름은 직지,이규희,6학년,초등학교,,,,
253,노잣돈 갚기 프로젝트,김진희,6학년,초등학교,,,,
254,달라도 두렵지 않아,크리스 힐,6학년,초등학교,,,,
255,달빛도시 동물들의 권리 투쟁기,김향금,6학년,초등학교,,,,
256,당근 먹는 사자 네오,강경호,6학년,초등학교,,,,
257,대화합시다 함께 삽시다-생명평화의 스님 도법,임어진,6학년,초등학교,,,,
258,도피안산 일지,우봉규,6학년,초등학교,,,,
259,동요에서 찾은 놀라운 수학 원리,송은영,6학년,초등학교,,,,
260,레 미제라블,빅토르 위고,6학년,초등학교,,,,
261,루시 변주곡,사라 자르,6학년,초등학교,,,,
262,만들어진 나!,니콜라우스 뉘첼,6학년,초등학교,,,,
263,모르는 아이,장성자,6학년,초등학교,,,,
264,"미켈란젤로, 고난을 딛고 예술혼을 피어올리다",최병진,6학년,초등학교,,,,
265,바느질 소녀,송미경,6학년,초등학교,,,,
266,부와 가난은 어떻게 만들어지나요?,"모니크 팽송,",6학년,초등학교,,,,
,,샤를로 미셸 팽송,,초등학교,,,,
267,비밀의 집 1,"크리스 콜롬버스,",6학년,초등학교,,,,
,,네드 비지니,,초등학교,,,,
268,생각하게 만드는 책,스티븐 로,6학년,초등학교,,,,
269,성균관 공부 벌레들,"권도일, 남수진",6학년,초등학교,,,,
270,수상한 동물 농장,베로니카 코샌텔리,6학년,초등학교,,,,
271,수상한 우리 반,박현숙,6학년,초등학교,,,,
272,신윤복 갤러리,이광표,6학년,초등학교,,,,
273,역사가 숨 쉬는 우리 성곽,윤민용,6학년,초등학교,,,,
274,이상한 도둑과 산학 소년 강산이,황은주,6학년,초등학교,,,,
275,이야기 교과서 한국사 1 (고조선부터 삼국시대까지),문재갑,6학년,초등학교,,,,
276,이야기 교과서 한국사 2 (통일 신라와 발해의 남북극 시대),문재갑,6학년,초등학교,,,,
277,이야기로 엮은 우리 미술사,엄광용,6학년,초등학교,,,,
278,자연에서 배우는 발명의 기술,지그리트 벨처,6학년,초등학교,,,,
279,저녁까지만 거짓말하기로 한 날,신현이,6학년,초등학교,,,,
280,정의의 악플러,김혜영,6학년,초등학교,,,,
281,주홍 따오기 눈물,질 르위스,6학년,초등학교,,,,
282,지구 속 여행,쥘 베른,6학년,초등학교,,,,
283,지붕을 달리는 아이들,캐서린 런델,6학년,초등학교,,,,
284,"찰칵, 내 삶의 퍼즐 조각",마리 콜로,6학년,초등학교,,,,
285,"책바이러스 LIV3, 책의 죽음",크리스티앙 그르니에,6학년,초등학교,,,,
286,책이 있는 나무,비센테 무뇨스 푸에예스,6학년,초등학교,,,,
287,철학이 내게로 왔어요,구드룬 멥스,6학년,초등학교,,,,
288,탄탄동 사거리 만복 전파사,김려령,6학년,초등학교,,,,
289,"페럴 1, 까마귀와 말하는 소년",제이콥 그레이,6학년,초등학교,,,,
290,할머니는 도둑,데이비드 윌리엄스,6학년,초등학교,,,,
291,할아버지에게 훈장을,마이클 모퍼고,6학년,초등학교,,,,
292,혼자 되었을 때 보이는 것,남찬숙,6학년,초등학교,,,,
293,훈민정음 해례본,이기범,6학년,초등학교,,,,
294,힘의 백과사전,오이 기쿠오 외,6학년,초등학교,,,,
295,거만한 눈사람,세예드 알리 쇼자에,1학년,초등학교,,,,
296,거실 캠핑,어린이 통합교과 연구회,1학년,초등학교,,,,
297,꿈꾸는 소금통,도미니크 미하엘 사르토르,1학년,초등학교,,,,
298,난 방귀벌레 난 좀벌레,유희윤,1학년,초등학교,,,,
299,마음의 여유를 선물하는 행복버스,잔니 로다리,1학년,초등학교,,,,
300,미어캣의 스카프,임경섭,1학년,초등학교,,,,
301,사고뭉치 찾아요,어린이 통합교과 연구회,1학년,초등학교,,,,
302,소원 들어주는 호랑이바위,한미호,1학년,초등학교,,,,
303,수학을 사랑한 아이,데보라 하일리그먼,1학년,초등학교,,,,
304,애너벨과 신기한 털실,맥 바넷,1학년,초등학교,,,,
305,엄마가 화났다,최숙희,1학년,초등학교,,,,
306,오싹오싹 당근,애런 레이놀즈,1학년,초등학교,,,,
307,옥토끼의 소원,어린이 통합교과 연구회,1학년,초등학교,,,,
308,짜장 줄넘기,곽미영,1학년,초등학교,,,,
309,타보의 수수께끼 편지,윤희정,1학년,초등학교,,,,
310,동물이랑 식물이 같다고요,노정임,1학년,초등학교,,,,
311,땅속에도 풀숲에도 곤충은 어디에나 있어,마츠오카 다츠히데,1학년,초등학교,,,,
312,세밀화로 보는 왕잠자리 한살이,길벗어린이,1학년,초등학교,,,,
313,명절은 어떤 날일까요,양태석,1학년,초등학교,,,,
314,(세계문화유산) 우리 풍어제,김상수,1학년,초등학교,,,,
315,콩(콩의 한살이로 들여다본 콩밭 생태계),이경희,1학년,초등학교,,,,
316,아빠가 들려주는 숭례문 이야기,이용재,1학년,초등학교,,,,
317,오늘은 5월 18일,서진선,1학년,초등학교,,,,
318,마술피리,에마누엘레 루차티,1학년,초등학교,,,,
319,빛을 사랑한 고흐아저씨,아나 오비올스,1학년,초등학교,,,,
320,생쥐를 찾아라,스테판 밀르루,1학년,초등학교,,,,
321,세상이 반한 미소 모나리자,박수현,1학년,초등학교,,,,
322,여울이의 미술관 나들이,백미숙,1학년,초등학교,,,,
323,달려라 꼬마 보발꾼,오진원,1학년,초등학교,,,,
324,으랏차차 들돌 들어라,신정민,1학년,초등학교,,,,
325,초희가 썼어,최영희,1학년,초등학교,,,,
326,"로드킬, 우리 길이 없어졌어요",김재홍,1학년,초등학교,,,,
327,물총새를 사랑한 소년,걸음동무,1학년,초등학교,,,,
328,우주 쓰레기,고나영,1학년,초등학교,,,,
329,"하늘다람쥐, 집 걱정은 하지 마",녹색연합,1학년,초등학교,,,,
330,두둥실 선생님의 우주여행,마우리 쿠나스,2학년,초등학교,,,,
331,안녕 여긴 천문대야,이지유,2학년,초등학교,,,,
332,큰달 작은달 달력의 비밀,이케가미 준이치,2학년,초등학교,,,,
333,나는 사실대로 말했을 뿐이야,패트리샤 맥키삭,2학년,초등학교,,,,
334,내 이름이 담긴 병,최양숙,2학년,초등학교,,,,
335,밀림을 지켜라,카르멘 바스케스,2학년,초등학교,,,,
336,바다를 건너간 낙타,고희선,2학년,초등학교,,,,
337,우리 집에 놀러 오세요,오진희 외,2학년,초등학교,,,,
338,지리산 그림여행,오치근 외,2학년,초등학교,,,,
339,희망 심으러 가요,에스코페카 티티넨,2학년,초등학교,,,,
340,6월 1일 절교의 날,김리리,2학년,초등학교,,,,
341,"괜찮아, 우린 친구잖아",시미즈 치에,2학년,초등학교,,,,
342,나도 이제 친구가 생겼어요,이재민,2학년,초등학교,,,,
343,다락방 명탐정. 1,성완,2학년,초등학교,,,,
344,다시 찾은 친구,카트리네 마리에 굴다게르,2학년,초등학교,,,,
345,똥방귀마을,미하엘 조바,2학년,초등학교,,,,
346,무엇이든 선물은행,김영아,2학년,초등학교,,,,
347,민재가 뿔났다,이미지,2학년,초등학교,,,,
348,싫다고 말해도 괜찮아,코르넬리아 프란츠,2학년,초등학교,,,,
349,이사벨의 방,사라 스튜어트,2학년,초등학교,,,,
350,칭찬 초대장,문인화,2학년,초등학교,,,,
351,"너, 강화도에 있니",이상교,2학년,초등학교,,,,
352,열려라 남대문학교,문영미,2학년,초등학교,,,,
353,할머니가 물려주신 요리책,김익선,2학년,초등학교,,,,
354,숫자의 발명,안나 체라솔리,2학년,초등학교,,,,
355,지지고 볶고,박남일,2학년,초등학교,,,,
356,짜장면,임선아,2학년,초등학교,,,,
357,편지따라 역사여행(조선에서 파리까지),조현범,2학년,초등학교,,,,
358,"첼로, 노래하는 나무",이세 히데코,2학년,초등학교,,,,
359,"검은 비너스, 조세핀 베이커",패트리샤 흐루비 파월,2학년,초등학교,,,,
360,무대는 언제나 두근두근,소윤경,2학년,초등학교,,,,
361,책 만드는 이야기 들어볼래,곰곰,2학년,초등학교,,,,
362,나무야 새야 함께 살자,강문정,2학년,초등학교,,,,
363,환경지킴이,장지혜,2학년,초등학교,,,,
364,"탁한 공기, 이제 그만",이욱재,2학년,초등학교,,,,
365,(너도 나도 똑같이) 생명 존중,인현진,3학년,초등학교,,,,
